id;userID;totalBill;time
2 ; 1 ; 9.75€ ; 13:47:39
3 ; 1 ; 9.75€ ; 13:47:39
4 ; 1 ; 9.75€ ; 13:47:39
5 ; 1 ; 8.0€ ; 13:47:39
6 ; 1 ; 9.75€ ; 13:47:39
7 ; 1 ; 17.75€ ; 13:47:39
8 ; 1 ; 19.25€ ; 13:47:39
9 ; 1 ; 19.25€ ; 13:47:39
10 ; 1 ; 19.25€ ; 13:47:39
11 ; 1 ; 9.75€ ; 13:47:39
12 ; 6 ; 15.05€ ; 13:47:39
13 ; 5 ; 12.0€ ; 13:47:39
14 ; 1 ; 10.25€ ; 13:47:39
15 ; 2 ; 10.0€ ; 13:47:39
16 ; 1 ; 36.0€ ; 13:47:39
17 ; 6 ; 16.75€ ; 12:17:00
18 ; 5 ; 18.75€ ; 12:27:33
19 ; 1 ; 15.25€ ; 12:45:52
20 ; 1 ; 16.25€ ; 12:53:48
21 ; 2 ; 16.75€ ; 13:01:42
22 ; 1 ; 15.55€ ; 13:23:34
23 ; 1 ; 16.75€ ; 13:47:24
24 ; 3 ; 16.75€ ; 14:03:22
